age,income,workclass
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,empl-unknown
0,Below-50K,govt-employed
0,Above-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
1,Below-50K,unemployed
0,Below-50K,govt-employed
0,Above-50K,govt-employed
0,Above-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Above-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Above-50K,self-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Above-50K,govt-employed
0,Above-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
2,Below-50K,govt-employed
0,Above-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Above-50K,govt-employed
0,Below-50K,unemployed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Above-50K,govt-employed
0,Below-50K,govt-employed
0,Above-50K,govt-employed
0,Above-50K,govt-employed
0,Above-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,self-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Above-50K,govt-employed
0,Above-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,self-employed
0,Below-50K,govt-employed
0,Below-50K,empl-unknown
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,self-employed
0,Below-50K,unemployed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Above-50K,unemployed
0,Below-50K,govt-employed
0,Below-50K,unemployed
0,Above-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Above-50K,unemployed
0,Above-50K,govt-employed
0,Below-50K,govt-employed
0,Above-50K,self-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
2,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Above-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Above-50K,govt-employed
0,Above-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,unemployed
0,Below-50K,govt-employed
0,Above-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
4,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Above-50K,govt-employed
0,Below-50K,unemployed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Above-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,empl-unknown
0,Below-50K,empl-unknown
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Above-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Above-50K,self-employed
1,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,empl-unknown
0,Above-50K,unemployed
0,Below-50K,govt-employed
1,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Above-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,empl-unknown
0,Above-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
1,Below-50K,unemployed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,unemployed
0,Below-50K,govt-employed
0,Above-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
1,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Above-50K,unemployed
0,Below-50K,govt-employed
0,Above-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
1,Below-50K,self-employed
0,Below-50K,govt-employed
0,Above-50K,self-employed
0,Below-50K,govt-employed
0,Below-50K,empl-unknown
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,self-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Above-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
1,Above-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
1,Below-50K,unemployed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,empl-unknown
0,Above-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Above-50K,govt-employed
0,Above-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
1,Above-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,unemployed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,self-employed
0,Below-50K,govt-employed
0,Below-50K,empl-unknown
0,Below-50K,govt-employed
0,Above-50K,unemployed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Above-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Above-50K,govt-employed
0,Below-50K,govt-employed
1,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,empl-unknown
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Above-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,self-employed
0,Below-50K,govt-employed
0,Below-50K,empl-unknown
0,Above-50K,govt-employed
1,Above-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,empl-unknown
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,unemployed
0,Below-50K,govt-employed
0,Above-50K,govt-employed
0,Below-50K,govt-employed
0,Above-50K,govt-employed
0,Below-50K,unemployed
0,Above-50K,unemployed
1,Below-50K,self-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,unemployed
0,Below-50K,empl-unknown
0,Below-50K,govt-employed
0,Below-50K,unemployed
0,Above-50K,govt-employed
0,Above-50K,govt-employed
0,Below-50K,govt-employed
0,Above-50K,govt-employed
0,Above-50K,govt-employed
0,Below-50K,unemployed
0,Above-50K,govt-employed
0,Below-50K,unemployed
0,Above-50K,govt-employed
0,Below-50K,govt-employed
0,Above-50K,govt-employed
0,Below-50K,empl-unknown
0,Below-50K,empl-unknown
0,Above-50K,unemployed
0,Above-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,empl-unknown
0,Above-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,unemployed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,unemployed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Above-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Above-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
2,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Above-50K,govt-employed
2,Below-50K,govt-employed
0,Above-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,empl-unknown
0,Below-50K,govt-employed
0,Above-50K,govt-employed
2,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Above-50K,govt-employed
0,Above-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Above-50K,govt-employed
0,Above-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Above-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Above-50K,govt-employed
0,Below-50K,govt-employed
0,Above-50K,govt-employed
0,Below-50K,unemployed
0,Below-50K,govt-employed
2,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,self-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,unemployed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Above-50K,govt-employed
0,Above-50K,govt-employed
0,Below-50K,unemployed
0,Above-50K,govt-employed
0,Below-50K,govt-employed
1,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
1,Below-50K,govt-employed
0,Above-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Above-50K,govt-employed
0,Below-50K,govt-employed
0,Above-50K,govt-employed
0,Below-50K,govt-employed
0,Above-50K,govt-employed
0,Below-50K,govt-employed
0,Above-50K,empl-unknown
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,unemployed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
1,Below-50K,empl-unknown
1,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Above-50K,govt-employed
0,Above-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Above-50K,govt-employed
0,Above-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,empl-unknown
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Above-50K,govt-employed
0,Below-50K,unemployed
0,Above-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
1,Below-50K,govt-employed
0,Below-50K,unemployed
0,Below-50K,govt-employed
0,Above-50K,govt-employed
0,Below-50K,unemployed
0,Below-50K,unemployed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,unemployed
1,Below-50K,self-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,empl-unknown
1,Below-50K,govt-employed
0,Below-50K,empl-unknown
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Above-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
1,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,empl-unknown
0,Below-50K,unemployed
2,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,empl-unknown
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Above-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,unemployed
0,Below-50K,govt-employed
0,Below-50K,self-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Above-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Above-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,empl-unknown
0,Below-50K,self-employed
0,Below-50K,unemployed
0,Above-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Above-50K,govt-employed
0,Above-50K,self-employed
0,Above-50K,govt-employed
0,Below-50K,govt-employed
4,Below-50K,empl-unknown
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Above-50K,govt-employed
0,Below-50K,unemployed
0,Above-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Above-50K,govt-employed
0,Above-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Above-50K,govt-employed
0,Below-50K,govt-employed
0,Above-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Above-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,empl-unknown
3,Below-50K,empl-unknown
0,Above-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,unemployed
0,Below-50K,unemployed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Above-50K,govt-employed
0,Above-50K,govt-employed
0,Below-50K,govt-employed
0,Above-50K,govt-employed
0,Below-50K,govt-employed
0,Above-50K,self-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,unemployed
1,Above-50K,unemployed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Above-50K,govt-employed
0,Above-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
1,Below-50K,govt-employed
0,Below-50K,unemployed
0,Above-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,empl-unknown
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Above-50K,govt-employed
0,Above-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,empl-unknown
0,Below-50K,govt-employed
0,Above-50K,govt-employed
0,Above-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,unemployed
0,Above-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,unemployed
1,Above-50K,govt-employed
0,Above-50K,govt-employed
0,Above-50K,govt-employed
0,Above-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
1,Below-50K,govt-employed
0,Below-50K,unemployed
0,Below-50K,govt-employed
1,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Above-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,unemployed
0,Below-50K,govt-employed
0,Below-50K,unemployed
0,Below-50K,govt-employed
0,Above-50K,govt-employed
0,Above-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,empl-unknown
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,self-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
1,Below-50K,govt-employed
0,Below-50K,govt-employed
1,Above-50K,self-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
1,Below-50K,empl-unknown
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,unemployed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
1,Below-50K,self-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Above-50K,govt-employed
0,Below-50K,empl-unknown
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Above-50K,self-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,self-employed
0,Below-50K,govt-employed
0,Below-50K,empl-unknown
0,Below-50K,govt-employed
2,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Above-50K,govt-employed
0,Above-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Above-50K,unemployed
1,Below-50K,govt-employed
1,Below-50K,govt-employed
0,Above-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,unemployed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,unemployed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
1,Below-50K,govt-employed
0,Above-50K,govt-employed
0,Below-50K,unemployed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Above-50K,govt-employed
0,Below-50K,govt-employed
0,Above-50K,govt-employed
0,Above-50K,govt-employed
1,Below-50K,govt-employed
0,Above-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
0,Below-50K,govt-employed
1,Below-50K,self-employed
1,Below-50K,unemployed
0,Above-50K,govt-employed
0,Below-50K,govt-employed
0,Above-50K,unemployed
0,Below-50K,govt-employed
0,Above-50K,govt-employed
0,Below-50K,govt-employed
